,player_id,firstname,lastname,team,game_id,points,position,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,First Last Name,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,id,date
25,2666,James,Wiseman,Detroit Pistons,13467,17,C,30,8,10,80.0,1,2,50.0,0,0,0,4,8,12,4,5,0,1,1,+1,James Wiseman,33,29,21,16,13467,03/10/2024 12:00:00 AM
26,2587,Malachi,Flynn,Detroit Pistons,13467,2,PG,2,1,1,100.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-2,Malachi Flynn,3,2,3,1,13467,03/10/2024 12:00:00 AM
27,177,Evan,Fournier,Detroit Pistons,13467,0,SG,11,0,3,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0,-12,Evan Fournier,3,2,1,3,13467,03/10/2024 12:00:00 AM
28,3790,Stanley,Umude,Detroit Pistons,13467,3,G,14,1,5,20.0,0,0,0,1,3,33.3,2,0,2,0,3,0,0,1,-20,Stanley Umude,5,5,3,2,13467,03/10/2024 12:00:00 AM
29,3970,Marcus,Sasser,Detroit Pistons,13467,10,G,19,4,8,50.0,0,0,0,2,5,40.0,0,4,4,1,3,1,3,0,-15,Marcus Sasser,15,14,11,5,13467,03/10/2024 12:00:00 AM
30,1897,P.J.,Washington,Dallas Mavericks,13467,7,PF,29,2,4,50.0,2,2,100.0,1,3,33.3,0,2,2,1,0,2,0,0,+4,P.J. Washington,10,9,8,3,13467,03/10/2024 12:00:00 AM
31,283,Derrick,Jones Jr.,Dallas Mavericks,13467,12,SF,18,5,7,71.4,2,2,100.0,0,2,0,0,1,1,1,2,4,0,1,+16,Derrick Jones Jr.,14,13,13,2,13467,03/10/2024 12:00:00 AM
32,1859,Daniel,Gafford,Dallas Mavericks,13467,17,C,24,7,7,100.0,3,4,75.0,0,0,0,0,7,7,1,3,0,1,4,+22,Daniel Gafford,25,24,18,8,13467,03/10/2024 12:00:00 AM
33,261,Kyrie,Irving,Dallas Mavericks,13467,21,PG,30,9,18,50.0,0,0,0,3,6,50.0,1,2,3,5,1,1,4,0,+15,Kyrie Irving,29,24,26,8,13467,03/10/2024 12:00:00 AM
34,963,Luka,Doncic,Dallas Mavericks,13467,39,PG,37,13,24,54.2,9,10,90.0,4,13,30.8,0,10,10,10,1,3,6,2,+13,Luka Doncic,59,49,49,20,13467,03/10/2024 12:00:00 AM
