,outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
4851,Jrue Holiday,Over,-118,21.5,-0.2791032252294281,FanDuel,player_points_rebounds_assists,Boston Celtics,16.9,19.40090485754096,0.50693894658408,0.39632371851236026,Miami Heat,1.016064260313952,5.721758942023423,22.0,2024-05-01
4852,Jrue Holiday,Under,-108,21.5,0.16687177650071008,FanDuel,player_points_rebounds_assists,Boston Celtics,16.9,19.40090485754096,0.48628465443186036,0.5836852488196552,Miami Heat,1.016064260313952,5.721758942023423,21.0,2024-05-01
4853,Jaylen Brown,Over,-106,33.5,-0.09717385160480053,FanDuel,player_points_rebounds_assists,Boston Celtics,29.1,32.043258864532326,0.4819131634714876,0.43923136043263233,Miami Heat,1.016064260313952,6.855643227536404,34.0,2024-05-01
4854,Jaylen Brown,Under,-120,33.5,0.06854284531067281,FanDuel,player_points_rebounds_assists,Boston Celtics,29.1,32.043258864532326,0.5108444854637724,0.5484358382905508,Miami Heat,1.016064260313952,6.855643227536404,33.0,2024-05-01
4855,Tyler Herro,Over,-118,31.5,-0.02606722031093025,FanDuel,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.50693894658408,0.49406017125316776,Boston Celtics,0.9189031040457524,9.12414379544733,32.0,2024-05-01
4856,Tyler Herro,Under,-108,31.5,0.00978640858280168,FanDuel,player_points_rebounds_assists,Miami Heat,31.6,26.86458193844763,0.48628465443186036,0.4910906683636684,Boston Celtics,0.9189031040457524,9.12414379544733,31.0,2024-05-01
4857,Jayson Tatum,Over,-113,42.5,-0.17170094274544748,FanDuel,player_points_rebounds_assists,Boston Celtics,35.6,38.631127863356994,0.4968542217773624,0.42404525220673495,Miami Heat,1.016064260313952,5.967929102944988,43.0,2024-05-01
4858,Jayson Tatum,Under,-113,42.5,0.12184216199963362,FanDuel,player_points_rebounds_assists,Boston Celtics,35.6,38.631127863356994,0.4968542217773624,0.5657914787946755,Miami Heat,1.016064260313952,5.967929102944988,42.0,2024-05-01
4859,Derrick White,Over,-120,24.5,-0.08924536490533838,FanDuel,player_points_rebounds_assists,Boston Celtics,23.0,25.703440330530498,0.5108444854637724,0.4689893589844816,Miami Heat,1.016064260313952,10.733766651897932,25.0,2024-05-01
4860,Derrick White,Under,-106,24.5,0.06518482738128364,FanDuel,player_points_rebounds_assists,Boston Celtics,23.0,25.703440330530498,0.4819131634714876,0.5155170536240813,Miami Heat,1.016064260313952,10.733766651897932,24.0,2024-05-01
4861,Al Horford,Over,-131,20.5,-0.28917004530109097,Caesars,player_points_rebounds_assists,Boston Celtics,16.9,18.43135602186875,0.5311160920297952,0.4119829606386416,Miami Heat,1.016064260313952,3.9619786832471973,21.0,2024-05-01
4862,Al Horford,Under,-104,20.5,0.15760470488913575,Caesars,player_points_rebounds_assists,Boston Celtics,16.9,18.43135602186875,0.4774559570020879,0.5667837412829471,Miami Heat,1.016064260313952,3.9619786832471973,20.0,2024-05-01
4863,Nikola Jovic,Over,-127,16.5,0.0038712752123218424,Caesars,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.5239719135043246,0.5260082361504108,Boston Celtics,0.9189031040457524,9.091792229315576,17.0,2024-05-01
4864,Nikola Jovic,Under,-108,16.5,-0.10106447075790143,Caesars,player_points_rebounds_assists,Miami Heat,17.8,12.26256068056626,0.48628465443186036,0.44164957397738347,Boston Celtics,0.9189031040457524,9.091792229315576,16.0,2024-05-01
