outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Jalen Johnson,Over,-110,9.5,0.040763893410468446,BetMGM,player_rebounds,Atlanta Hawks,10.3,10.4783292560609,0.49057287889774975,0.5114203641081994,Cleveland Cavaliers,1.0173135200059125,3.262061171084967,10.0,2024-03-06
Jalen Johnson,Under,-120,9.5,-0.13361868135648253,BetMGM,player_rebounds,Atlanta Hawks,10.3,10.4783292560609,0.5108444854637724,0.45063167524065356,Cleveland Cavaliers,1.0173135200059125,3.262061171084967,9.0,2024-03-06
Saddiq Bey,Over,-145,5.5,-0.26002769362086975,BetMGM,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.554283642390964,0.439897984145214,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,6.0,2024-03-06
Saddiq Bey,Under,110,5.5,0.08031301356775382,BetMGM,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.44597534445249976,0.4849207948267027,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,5.0,2024-03-06
Clint Capela,Over,-105,9.5,0.05513882161123153,BetMGM,player_rebounds,Atlanta Hawks,10.2,10.376597904060306,0.479695431472079,0.5076887932786943,Cleveland Cavaliers,1.0173135200059125,3.04484993244513,10.0,2024-03-06
Clint Capela,Under,-125,9.5,-0.1461285831799388,BetMGM,player_rebounds,Atlanta Hawks,10.2,10.376597904060306,0.5203045685279164,0.45396701222155117,Cleveland Cavaliers,1.0173135200059125,3.04484993244513,9.0,2024-03-06
Dejounte Murray,Over,-110,5.5,0.07462977504677148,BetMGM,player_rebounds,Atlanta Hawks,6.5,6.612537880038431,0.49057287889774975,0.5301368745925935,Cleveland Cavaliers,1.0173135200059125,1.864880097426582,6.0,2024-03-06
Dejounte Murray,Under,-120,5.5,-0.24513193217200788,BetMGM,player_rebounds,Atlanta Hawks,6.5,6.612537880038431,0.5108444854637724,0.4102733792817082,Cleveland Cavaliers,1.0173135200059125,1.864880097426582,5.0,2024-03-06
Bogdan Bogdanovic,Over,-140,3.5,-0.03599538189731336,BetMGM,player_rebounds,Atlanta Hawks,4.3,4.374448136025423,0.5463197969543122,0.527338062022812,Cleveland Cavaliers,1.0173135200059125,1.3193999873164364,4.0,2024-03-06
Bogdan Bogdanovic,Under,105,3.5,-0.19231529663197897,BetMGM,player_rebounds,Atlanta Hawks,4.3,4.374448136025423,0.45685279187817046,0.38316441395046785,Cleveland Cavaliers,1.0173135200059125,1.3193999873164364,3.0,2024-03-06
Jarrett Allen,Over,-110,12.5,-0.3037679573643801,BetMGM,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.49057287889774975,0.3762731520795025,Atlanta Hawks,1.035672547090649,3.6732785364863867,13.0,2024-03-06
Jarrett Allen,Under,-120,12.5,0.12795609075750217,BetMGM,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.5108444854637724,0.5858013341409817,Atlanta Hawks,1.035672547090649,3.6732785364863867,12.0,2024-03-06
Darius Garland,Over,-130,2.5,-0.3082508090952021,BetMGM,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.5293533436327497,0.4046268039374309,Atlanta Hawks,1.035672547090649,1.7888543819998317,3.0,2024-03-06
Darius Garland,Under,100,2.5,-0.07383642305768422,BetMGM,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.4682741116751247,0.4360758320543296,Atlanta Hawks,1.035672547090649,1.7888543819998317,2.0,2024-03-06
Isaac Okoro,Over,-145,3.5,-1.1328144761632792,BetMGM,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.554283642390964,0.2598836647939792,Atlanta Hawks,1.035672547090649,2.332398474666818,4.0,2024-03-06
Isaac Okoro,Under,110,3.5,0.2509314369509655,BetMGM,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.44597534445249976,0.5953731960625691,Atlanta Hawks,1.035672547090649,2.332398474666818,3.0,2024-03-06
Isaac Okoro,Over,-145,3.5,-1.1328144761632792,Caesars,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.554283642390964,0.2598836647939792,Atlanta Hawks,1.035672547090649,2.332398474666818,4.0,2024-03-06
Isaac Okoro,Under,106,3.5,0.2363864163092366,Caesars,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.4546350598787619,0.5953731960625691,Atlanta Hawks,1.035672547090649,2.332398474666818,3.0,2024-03-06
Bogdan Bogdanovic,Over,-145,3.5,-0.05109735539435867,Caesars,player_rebounds,Atlanta Hawks,4.3,4.374448136025423,0.554283642390964,0.527338062022812,Cleveland Cavaliers,1.0173135200059125,1.3193999873164364,4.0,2024-03-06
Bogdan Bogdanovic,Under,106,3.5,-0.18652735829881412,Caesars,player_rebounds,Atlanta Hawks,4.3,4.374448136025423,0.4546350598787619,0.38316441395046785,Cleveland Cavaliers,1.0173135200059125,1.3193999873164364,3.0,2024-03-06
Jalen Johnson,Over,-117,9.5,0.012633802308136287,Caesars,player_rebounds,Atlanta Hawks,10.3,10.4783292560609,0.5049591803317013,0.5114203641081994,Cleveland Cavaliers,1.0173135200059125,3.262061171084967,10.0,2024-03-06
Jalen Johnson,Under,-117,9.5,-0.12055855829938025,Caesars,player_rebounds,Atlanta Hawks,10.3,10.4783292560609,0.5049591803317013,0.45063167524065356,Cleveland Cavaliers,1.0173135200059125,3.262061171084967,9.0,2024-03-06
Jarrett Allen,Over,-131,12.5,-0.4115173753283784,Caesars,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.5311160920297952,0.3762731520795025,Atlanta Hawks,1.035672547090649,3.6732785364863867,13.0,2024-03-06
Jarrett Allen,Under,-104,12.5,0.1849524246949203,Caesars,player_rebounds,Cleveland Cavaliers,9.8,10.14959096148836,0.4774559570020879,0.5858013341409817,Atlanta Hawks,1.035672547090649,3.6732785364863867,12.0,2024-03-06
Saddiq Bey,Over,-148,5.5,-0.2705396043018003,Caesars,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.5589078107090198,0.439897984145214,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,6.0,2024-03-06
Saddiq Bey,Under,108,5.5,0.07146986946744371,Caesars,player_rebounds,Atlanta Hawks,5.2,5.290030304030745,0.4502635689183892,0.4849207948267027,Cleveland Cavaliers,1.0173135200059125,2.5219040425836985,5.0,2024-03-06
Clint Capela,Over,-103,9.5,0.06400451411311991,Caesars,player_rebounds,Atlanta Hawks,10.2,10.376597904060306,0.4751944187442153,0.5076887932786943,Cleveland Cavaliers,1.0173135200059125,3.04484993244513,10.0,2024-03-06
Clint Capela,Under,-133,9.5,-0.17761022666642623,Caesars,player_rebounds,Atlanta Hawks,10.2,10.376597904060306,0.5345961961613012,0.45396701222155117,Cleveland Cavaliers,1.0173135200059125,3.04484993244513,9.0,2024-03-06
Dejounte Murray,Over,-109,5.5,0.07865487389389308,Caesars,player_rebounds,Atlanta Hawks,6.5,6.612537880038431,0.48843902557501045,0.5301368745925935,Cleveland Cavaliers,1.0173135200059125,1.864880097426582,6.0,2024-03-06
Dejounte Murray,Under,-125,5.5,-0.2681899309159342,Caesars,player_rebounds,Atlanta Hawks,6.5,6.612537880038431,0.5203045685279164,0.4102733792817082,Cleveland Cavaliers,1.0173135200059125,1.864880097426582,5.0,2024-03-06
Darius Garland,Over,-127,2.5,-0.2949510719644478,Caesars,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.5239719135043246,0.4046268039374309,Atlanta Hawks,1.035672547090649,1.7888543819998317,3.0,2024-03-06
Darius Garland,Under,-108,2.5,-0.1151378239445184,Caesars,player_rebounds,Cleveland Cavaliers,2.4,2.4856141130175575,0.48628465443186036,0.4360758320543296,Atlanta Hawks,1.035672547090649,1.7888543819998317,2.0,2024-03-06
Buddy Hield,Over,120,4.5,-1.033534749494859,DraftKings,player_rebounds,Philadelphia 76ers,2.7,2.8440449743795106,0.42570373788647703,0.2093417572491565,Memphis Grizzlies,1.0533499905109298,1.2618037725140065,5.0,2024-03-06
Buddy Hield,Under,-150,4.5,0.16898853905091413,DraftKings,player_rebounds,Philadelphia 76ers,2.7,2.8440449743795106,0.5619289340101496,0.6761987775335601,Memphis Grizzlies,1.0533499905109298,1.2618037725140065,4.0,2024-03-06
Cameron Payne,Over,120,3.5,-4.512928389283655,DraftKings,player_rebounds,Philadelphia 76ers,1.6,1.6853599848174878,0.42570373788647703,0.07721916698827147,Memphis Grizzlies,1.0533499905109298,1.357193909742442,4.0,2024-03-06
Cameron Payne,Under,-150,3.5,0.29487732953312956,DraftKings,player_rebounds,Philadelphia 76ers,1.6,1.6853599848174878,0.5619289340101496,0.796923652501613,Memphis Grizzlies,1.0533499905109298,1.357193909742442,3.0,2024-03-06
Jaren Jackson Jr.,Over,-120,5.5,-0.29620442975006167,DraftKings,player_rebounds,Memphis Grizzlies,4.7,4.8394052268186964,0.5108444854637724,0.3941079614750854,Philadelphia 76ers,1.0296606865571694,3.044077241135645,6.0,2024-03-06
Jaren Jackson Jr.,Under,-110,5.5,0.06506799807353433,DraftKings,player_rebounds,Memphis Grizzlies,4.7,4.8394052268186964,0.49057287889774975,0.5247150358388677,Philadelphia 76ers,1.0296606865571694,3.044077241135645,5.0,2024-03-06
Santi Aldama,Over,-105,6.5,-0.10096168012715491,DraftKings,player_rebounds,Memphis Grizzlies,6.0,6.177964119343017,0.479695431472079,0.43570583802396906,Philadelphia 76ers,1.0296606865571694,1.6375691292465258,7.0,2024-03-06
Santi Aldama,Under,-125,6.5,-0.0406091370558328,DraftKings,player_rebounds,Memphis Grizzlies,6.0,6.177964119343017,0.5203045685279164,0.5,Philadelphia 76ers,1.0296606865571694,1.6375691292465258,6.0,2024-03-06
Tobias Harris,Over,-125,6.5,-0.10493330904517399,DraftKings,player_rebounds,Philadelphia 76ers,6.5,6.846774938321044,0.5203045685279164,0.47089228306234754,Memphis Grizzlies,1.0533499905109298,2.691586275451837,7.0,2024-03-06
Tobias Harris,Under,-105,6.5,-0.01869461175384327,DraftKings,player_rebounds,Philadelphia 76ers,6.5,6.846774938321044,0.479695431472079,0.47089228306234754,Memphis Grizzlies,1.0533499905109298,2.691586275451837,6.0,2024-03-06
Vince Williams Jr.,Over,-115,6.5,-0.23971351582619962,DraftKings,player_rebounds,Memphis Grizzlies,5.6,5.766099844720148,0.5009443985361799,0.4040807752284031,Philadelphia 76ers,1.0296606865571694,2.5298221281347035,7.0,2024-03-06
Vince Williams Jr.,Under,-115,6.5,0.05061744371269642,DraftKings,player_rebounds,Memphis Grizzlies,5.6,5.766099844720148,0.5009443985361799,0.5276528362762369,Philadelphia 76ers,1.0296606865571694,2.5298221281347035,6.0,2024-03-06
Vince Williams Jr.,Over,106,6.5,-0.12510935374686774,FanDuel,player_rebounds,Memphis Grizzlies,5.6,5.766099844720148,0.4546350598787619,0.4040807752284031,Philadelphia 76ers,1.0296606865571694,2.5298221281347035,7.0,2024-03-06
Vince Williams Jr.,Under,-130,6.5,-0.003222776870704578,FanDuel,player_rebounds,Memphis Grizzlies,5.6,5.766099844720148,0.5293533436327497,0.5276528362762369,Philadelphia 76ers,1.0296606865571694,2.5298221281347035,6.0,2024-03-06
Buddy Hield,Over,-144,3.5,-0.7069638590680866,FanDuel,player_rebounds,Philadelphia 76ers,2.7,2.8440449743795106,0.5527169842722783,0.32380122246643994,Memphis Grizzlies,1.0533499905109298,1.2618037725140065,4.0,2024-03-06
Buddy Hield,Under,118,3.5,0.20736872630851425,FanDuel,player_rebounds,Philadelphia 76ers,2.7,2.8440449743795106,0.4296092767661695,0.5420039443628936,Memphis Grizzlies,1.0533499905109298,1.2618037725140065,3.0,2024-03-06
Santi Aldama,Over,110,6.5,-0.02356981599123248,FanDuel,player_rebounds,Memphis Grizzlies,6.0,6.177964119343017,0.44597534445249976,0.43570583802396906,Philadelphia 76ers,1.0296606865571694,1.6375691292465258,7.0,2024-03-06
Santi Aldama,Under,-134,6.5,-0.07262787973447371,FanDuel,player_rebounds,Memphis Grizzlies,6.0,6.177964119343017,0.5363139398672369,0.5,Philadelphia 76ers,1.0296606865571694,1.6375691292465258,6.0,2024-03-06
Cameron Payne,Over,-162,2.5,-1.8515731966489717,FanDuel,player_rebounds,Philadelphia 76ers,1.6,1.6853599848174878,0.5790870693997726,0.20307634749838693,Memphis Grizzlies,1.0533499905109298,1.357193909742442,3.0,2024-03-06
