outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Ausar Thompson,Under,110,8.5,0.1333994585485066,FanDuel,player_rebounds_assists,Detroit Pistons,7.7,8.180925839646413,0.44597534445249976,0.5146262010239726,Dallas Mavericks,1.0624579012527808,3.276331642320556,8.0,2024-03-09
Jaden Ivey,Over,-111,6.5,-0.3946141952725844,FanDuel,player_rebounds_assists,Detroit Pistons,5.0,5.312289506263904,0.4926865061226431,0.353277994582828,Dallas Mavericks,1.0624579012527808,2.7699415476297182,7.0,2024-03-09
Jaden Ivey,Under,-115,6.5,0.12827207308056934,FanDuel,player_rebounds_assists,Detroit Pistons,5.0,5.312289506263904,0.5009443985361799,0.5746568201691669,Dallas Mavericks,1.0624579012527808,2.7699415476297182,6.0,2024-03-09
Cade Cunningham,Over,-111,12.5,-0.029344839205641484,FanDuel,player_rebounds_assists,Detroit Pistons,12.3,13.068232185409205,0.4926865061226431,0.4786408668477471,Dallas Mavericks,1.0624579012527808,1.9137998217644048,13.0,2024-03-09
Cade Cunningham,Under,-115,12.5,-0.02058070720731516,FanDuel,player_rebounds_assists,Detroit Pistons,12.3,13.068232185409205,0.5009443985361799,0.4908425125014839,Dallas Mavericks,1.0624579012527808,1.9137998217644048,12.0,2024-03-09
Jalen Duren,Over,-122,13.5,-0.05880296650023827,FanDuel,player_rebounds_assists,Detroit Pistons,13.5,14.34318166691254,0.5146796542735605,0.48609578038374784,Dallas Mavericks,1.0624579012527808,4.3750425403551105,14.0,2024-03-09
Jalen Duren,Under,-104,13.5,0.017773911501225575,FanDuel,player_rebounds_assists,Detroit Pistons,13.5,14.34318166691254,0.4774559570020879,0.48609578038374784,Dallas Mavericks,1.0624579012527808,4.3750425403551105,13.0,2024-03-09
P.J. Washington,Over,-117,7.5,-0.11172566947302116,Caesars,player_rebounds_assists,Dallas Mavericks,7.2,6.9549156861709935,0.5049591803317013,0.4542120364739454,Detroit Pistons,0.9659605119681935,1.6278820596099706,8.0,2024-03-09
P.J. Washington,Under,-117,7.5,-0.03363122156730435,Caesars,player_rebounds_assists,Dallas Mavericks,7.2,6.9549156861709935,0.5049591803317013,0.48852934179564267,Detroit Pistons,0.9659605119681935,1.6278820596099706,7.0,2024-03-09
Isaiah Stewart II,Over,-104,8.5,,Caesars,player_rebounds_assists,,,,0.4774559570020879,,Detroit Pistons,0.9659605119681935,,9.0,2024-03-09
Isaiah Stewart II,Under,-131,8.5,,Caesars,player_rebounds_assists,,,,0.5311160920297952,,Detroit Pistons,0.9659605119681935,,8.0,2024-03-09
Daniel Gafford,Over,-131,8.5,-0.2333581284118133,Caesars,player_rebounds_assists,Dallas Mavericks,7.7,7.43789594215509,0.5311160920297952,0.4306260118573262,Detroit Pistons,0.9659605119681935,5.205766033928148,9.0,2024-03-09
Daniel Gafford,Under,-104,8.5,0.07485297274896542,Caesars,player_rebounds_assists,Dallas Mavericks,7.7,7.43789594215509,0.4774559570020879,0.5160865710402724,Detroit Pistons,0.9659605119681935,5.205766033928148,8.0,2024-03-09
Ausar Thompson,Over,106,9.5,-0.16782452965556993,Caesars,player_rebounds_assists,Detroit Pistons,7.7,8.180925839646413,0.4546350598787619,0.38930083101855106,Dallas Mavericks,1.0624579012527808,3.276331642320556,10.0,2024-03-09
Ausar Thompson,Under,-145,9.5,0.01570685128998319,Caesars,player_rebounds_assists,Detroit Pistons,7.7,8.180925839646413,0.554283642390964,0.5631286198805614,Dallas Mavericks,1.0624579012527808,3.276331642320556,9.0,2024-03-09
Cade Cunningham,Over,-101,12.5,0.016791364425107452,Caesars,player_rebounds_assists,Detroit Pistons,12.3,13.068232185409205,0.47060383362375724,0.4786408668477471,Dallas Mavericks,1.0624579012527808,1.9137998217644048,13.0,2024-03-09
Cade Cunningham,Under,-135,12.5,-0.09610934418843033,Caesars,player_rebounds_assists,Detroit Pistons,12.3,13.068232185409205,0.538017064477803,0.4908425125014839,Dallas Mavericks,1.0624579012527808,1.9137998217644048,12.0,2024-03-09
Jaden Ivey,Over,-101,6.5,-0.33210627562431305,Caesars,player_rebounds_assists,Detroit Pistons,5.0,5.312289506263904,0.47060383362375724,0.353277994582828,Dallas Mavericks,1.0624579012527808,2.7699415476297182,7.0,2024-03-09
