outcomes_description,outcomes_name,outcomes_price,outcomes_point,EV Percentage,bookmakers.title,bookmakers.markets.key,team,Outcome Last 30 Avg,Outcome Last 30 Avg Adjusted,True Odds,Percentage Hit,opposing team,Defensive Rating,Defensive Rating Adjustment,Outcome Last 30 STD,outcomes_point_adj,Date
Anthony Davis,Over,-110,28.5,-0.10595803526784009,DraftKings,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.49057287889774975,0.44357277876184803,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,29.0,2024-03-04
Anthony Davis,Under,-120,28.5,-0.007401448626877591,DraftKings,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.5108444854637724,0.5070912754394693,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,28.0,2024-03-04
Chet Holmgren,Over,-120,19.5,0.3218325611184004,DraftKings,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.5108444854637724,0.753271915127969,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,20.0,2024-03-04
Chet Holmgren,Under,-110,19.5,-1.4431788923949438,DraftKings,player_points_assists,Oklahoma City Thunder,22.0,24.447750661570133,0.49057287889774975,0.20079286065575908,Los Angeles Lakers,125.98,0.8998782875588716,6.494753127087909,19.0,2024-03-04
Jalen Williams,Over,-120,25.5,0.2987061994693351,DraftKings,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.5108444854637724,0.7284314863146079,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,26.0,2024-03-04
Jalen Williams,Under,-110,25.5,-1.1255742457170472,DraftKings,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.49057287889774975,0.2307954567506808,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,25.0,2024-03-04
Josh Giddey,Over,-130,12.5,0.1434456612810396,DraftKings,player_points_assists,Oklahoma City Thunder,13.454545454545455,14.95151693352223,0.5293533436327497,0.618003224902738,Los Angeles Lakers,125.98,0.8998782875588716,6.499841066079811,13.0,2024-03-04
Josh Giddey,Under,100,12.5,-0.44136764356640074,DraftKings,player_points_assists,Oklahoma City Thunder,13.454545454545455,14.95151693352223,0.4682741116751247,0.3248817980376374,Los Angeles Lakers,125.98,0.8998782875588716,6.499841066079811,12.0,2024-03-04
LeBron James,Over,-110,32.5,0.30682987696356173,DraftKings,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.49057287889774975,0.7077236346379019,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,33.0,2024-03-04
LeBron James,Under,-120,32.5,-1.3965352375127567,DraftKings,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.5108444854637724,0.21315959701637943,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,32.0,2024-03-04
Luguentz Dort,Over,-120,11.5,0.20057176219408063,DraftKings,player_points_assists,Oklahoma City Thunder,12.818181818181818,14.244350592071854,0.5108444854637724,0.6390123106807146,Los Angeles Lakers,125.98,0.8998782875588716,6.307545003164238,12.0,2024-03-04
Luguentz Dort,Under,-110,11.5,-0.6163847665933266,DraftKings,player_points_assists,Oklahoma City Thunder,12.818181818181818,14.244350592071854,0.49057287889774975,0.3035000632502095,Los Angeles Lakers,125.98,0.8998782875588716,6.307545003164238,11.0,2024-03-04
Shai Gilgeous-Alexander,Over,-115,37.5,0.38773354845497465,DraftKings,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.5009443985361799,0.8181803808980068,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,38.0,2024-03-04
Shai Gilgeous-Alexander,Under,-115,37.5,-3.0216188553012584,DraftKings,player_points_assists,Oklahoma City Thunder,37.54545454545455,41.72281414557217,0.5009443985361799,0.12456287295247781,Los Angeles Lakers,125.98,0.8998782875588716,4.09797369803078,37.0,2024-03-04
Jalen Williams,Over,-120,25.5,0.2987061994693351,FanDuel,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.5108444854637724,0.7284314863146079,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,26.0,2024-03-04
Jalen Williams,Under,-106,25.5,-1.0880530763310445,FanDuel,player_points_assists,Oklahoma City Thunder,27.666666666666668,30.74489855924729,0.4819131634714876,0.2307954567506808,Los Angeles Lakers,125.98,0.8998782875588716,7.803133273813083,25.0,2024-03-04
LeBron James,Over,-122,32.5,0.2727674630551372,FanDuel,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.5146796542735605,0.7077236346379019,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,33.0,2024-03-04
LeBron James,Under,-104,32.5,-1.2398989474792432,FanDuel,player_points_assists,Los Angeles Lakers,35.8,35.1978947368421,0.4774559570020879,0.21315959701637943,Oklahoma City Thunder,111.46,1.01710628626114,4.019950248448356,32.0,2024-03-04
Anthony Davis,Over,-125,28.5,-0.1729857949810425,FanDuel,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.5203045685279164,0.44357277876184803,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,29.0,2024-03-04
Anthony Davis,Under,-102,28.5,0.06740558963749439,FanDuel,player_points_assists,Los Angeles Lakers,28.333333333333332,27.856806821523083,0.4729104890184428,0.5070912754394693,Oklahoma City Thunder,111.46,1.01710628626114,8.055363982396381,28.0,2024-03-04
Josh Giddey,Over,104,13.5,0.1775392924629492,FanDuel,player_points_assists,Oklahoma City Thunder,13.454545454545455,14.95151693352223,0.45909226634816147,0.5581935551948297,Los Angeles Lakers,125.98,0.8998782875588716,6.499841066079811,14.0,2024-03-04
Josh Giddey,Under,-132,13.5,-0.39494278239468017,FanDuel,player_points_assists,Oklahoma City Thunder,13.454545454545455,14.95151693352223,0.5328636443199696,0.38199677509726204,Los Angeles Lakers,125.98,0.8998782875588716,6.499841066079811,13.0,2024-03-04
