,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
138,Dominick Barlow,San Antonio Spurs,F,57,150,21,38,506.6,15,18,416.6,0,1,0.0,19,22,41,15,19,4,4,3,10,113,98,72,56,281.15625,79.806640625,45.291015625,0.0,691.0,572.728515625,411.119140625,113.40625,10
139,Donovan Mitchell,Cleveland Cavaliers,SG,241,347,75,167,435.8,52,59,812.8,39,86,449.3,3,47,50,49,22,13,34,6,4,340,291,290,99,886.6487603305785,22.330578512396695,23.0495867768595,16.96694214876033,1278.185950413223,1120.5,1030.0206611570247,59.69421487603306,10
140,Donte DiVincenzo,New York Knicks,SG,182,348,63,148,407.2,14,18,550.0,42,109,373.6,9,35,44,32,24,16,17,8,104,258,226,214,76,806.0056959772161,43.02029191883233,21.80562477750089,59.0815236739053,879.938056247775,920.9825560697756,765.8469206123176,63.940192239231045,10
141,Dorian Finney-Smith,Brooklyn Nets,PF,75,308,27,73,368.9,11,14,475.0,10,47,226.2,13,33,46,16,16,14,5,5,-26,137,121,91,62,176.53380205516495,26.455381287182263,14.962682531097892,14.021633315305571,200.7425635478637,188.90265008112493,189.22065981611684,40.57111952406706,10
142,Doug McDermott,Indiana Pacers,SF,45,123,17,43,287.5,1,2,50.0,10,35,190.29999999999998,1,7,8,10,10,3,4,0,-8,63,53,55,18,274.53396639883124,9.642074506939373,10.262965668371073,18.73046018991965,371.5332359386414,305.0,340.85682980277574,20.115412710007305,10
143,Draymond Green,Golden State Warriors,PF,80,296,35,83,415.7,4,7,125.0,6,28,143.3,17,67,84,68,33,11,24,8,45,232,164,148,152,121.6,52.48264462809917,104.0099173553719,6.429752066115703,392.0,179.35537190082647,229.53719008264466,261.2,10
144,Drew Eubanks,Phoenix Suns,PF,48,166,21,32,625.0,6,7,280.0,0,0,0.0,14,31,45,8,13,4,6,8,21,101,93,56,53,68.34380165289255,57.63140495867768,13.682644628099176,0.0,168.9074380165289,152.1404958677686,71.72231404958677,84.70247933884298,10
145,Duncan Robinson,Miami Heat,F,146,321,53,111,467.0,8,9,350.0,32,84,339.0,2,33,35,30,26,10,16,3,-13,211,181,176,65,468.41111111111104,21.877777777777776,36.01111111111111,37.7,674.5,489.5777777777777,640.8444444444444,70.37777777777778,10
146,Duop Reath,Portland Trail Blazers,C,89,180,34,69,382.6,9,10,450.0,12,31,286.7,8,19,27,10,24,4,10,4,-77,126,116,99,37,514.8115484056306,57.58029301924734,24.011490950876187,11.67767882792301,1011.9310542947429,828.6044240160873,654.3990232691756,125.33093938523413,10
147,Dwight Powell,Dallas Mavericks,C,20,119,7,12,450.0,6,11,325.0,0,0,0.0,12,20,32,9,19,0,9,3,-9,61,52,29,41,45.93964620187305,101.09781477627473,11.746097814776274,0.0,300.19458896982314,232.2029136316337,74.0,152.77523413111342,9
148,Dylan Windler,Atlanta Hawks,G,16,41,6,11,106.7,0,0,0.0,4,9,85.0,1,6,7,2,2,2,1,0,3,25,23,18,9,79.64462809917356,8.041322314049587,2.6838842975206614,5.768595041322312,122.66735537190084,113.02479338842977,82.13842975206612,17.873966942148762,3
149,Dylan Windler,Los Angeles Lakers,G,3,14,1,4,25.0,0,0,0.0,1,4,25.0,0,1,1,2,1,0,0,0,-7,6,4,5,3,7.975206611570249,1.6942148760330578,0.33471074380165283,0.6033057851239669,7.657024793388429,10.74380165289256,6.152892561983471,0.7644628099173552,2
150,Dyson Daniels,New Orleans Pelicans,G,38,181,16,32,311.4,1,2,50.0,5,13,250.0,7,20,27,20,12,15,12,8,25,85,65,58,47,123.55555555555556,24.0,25.555555555555557,4.222222222222222,146.22222222222223,113.55555555555556,128.22222222222223,77.55555555555556,9
151,Emoni Bates,Cleveland Cavaliers,F,16,23,6,12,102.9,0,2,0.0,4,8,100.0,0,1,1,1,0,0,1,0,-3,18,17,17,2,29.380000000000003,0.8200000000000001,0.52,2.9799999999999995,37.28,34.11999999999999,33.379999999999995,0.5,2
152,Eric Gordon,Phoenix Suns,SG,78,230,29,63,387.3,3,5,150.0,17,39,361.7,2,12,14,17,12,7,5,3,32,109,92,95,31,468.7890625,6.5,18.40625,30.277777777777775,523.2890625,407.4140625,585.9140625,23.65625,10
153,Eugene Omoruyi,Washington Wizards,F,39,106,17,38,391.3,5,10,200.0,0,6,0.0,7,13,20,7,18,7,5,1,-68,66,59,46,27,94.91836734693878,9.033163265306124,6.798469387755102,0.012755102040816325,87.34693877551021,71.67602040816327,106.89030612244898,19.530612244897956,10
154,Evan Fournier,Detroit Pistons,SG,66,180,23,73,284.0,11,12,366.7,9,42,184.3,1,14,15,20,17,12,8,1,-39,101,81,86,35,354.2190082644628,13.37293388429752,20.129132231404956,13.264462809917354,508.65289256198344,465.4473140495868,392.0960743801653,38.8305785123967,10
155,Evan Mobley,Cleveland Cavaliers,PF,147,289,58,104,539.1,27,47,514.2,4,16,175.0,20,71,91,41,27,9,16,13,-28,279,238,188,132,396.4863258026159,161.5041617122473,84.94292508917955,5.239001189060643,879.2449464922711,768.9441141498216,453.7717003567182,299.4625445897741,10
156,Frank Ntilikina,Charlotte Hornets,PG,5,39,1,8,50.0,2,2,100.0,1,7,50.0,1,4,5,3,4,0,0,0,0,13,10,8,8,19.0,7.0,6.84,0.7600000000000002,24.439999999999998,14.0,18.64,24.640000000000004,4
157,Franz Wagner,Orlando Magic,SF,170,310,65,135,495.0,33,38,885.0,7,36,132.9,7,37,44,29,27,11,13,3,3,243,214,199,73,248.0,45.19421487603306,31.992768595041326,11.141528925619836,487.9183884297521,404.83057851239676,314.2654958677686,94.00929752066115,10
158,Fred VanVleet,Houston Rockets,PG,179,351,58,134,435.29999999999995,31,33,685.7,32,78,385.1,3,33,36,91,26,18,22,7,86,306,215,270,127,636.4793835901708,22.40066638900458,111.20241566014161,59.64264889629321,609.1045397750938,662.2703040399833,582.38400666389,134.53269471053727,10
159,Furkan Korkmaz,Philadelphia 76ers,SG,41,116,13,29,278.6,7,10,241.7,8,18,258.3,3,12,15,12,6,3,2,2,22,68,56,53,27,292.875,14.875,10.0,20.0,404.0,340.0,363.875,17.875,8
160,GG Jackson,Memphis Grizzlies,F,196,334,66,148,433.2,35,42,777.4,29,86,302.6,15,34,49,17,17,4,17,3,-100,262,245,213,66,744.5055179779281,31.56817372730509,20.27945888216447,42.925952296190815,884.9156283374866,782.9601281594873,838.3684585261659,59.940192239231045,10
161,Garrett Temple,Toronto Raptors,SF,33,84,11,20,300.0,5,6,250.0,6,13,200.0,4,13,17,10,8,6,2,1,-4,60,50,43,27,124.27479338842976,17.547520661157026,8.0,7.0,190.0,186.0,120.27479338842976,33.54752066115702,5
162,Garrison Mathews,Atlanta Hawks,SG,88,200,26,50,520.5,17,19,363.3,19,37,464.0,0,14,14,11,27,4,2,3,-6,113,102,99,25,452.6710743801653,12.429752066115702,15.337190082644629,28.289256198347108,661.198347107438,568.6578512396695,526.2396694214876,46.73884297520661,10
163,Gary Harris,Orlando Magic,SG,74,238,27,54,532.8,4,7,125.0,16,38,477.6,2,13,15,9,12,8,7,3,22,98,89,83,24,115.07777777777778,10.677777777777777,12.944444444444445,4.800000000000001,210.8111111111111,170.5111111111111,146.2,32.8,10
164,Gary Payton II,Golden State Warriors,SG,28,142,12,23,399.9,2,4,100.0,2,4,200.0,10,8,18,16,14,6,7,3,-4,62,46,44,34,106.0,56.296061566319594,36.63467632412857,1.7419646899049344,232.77772747849707,135.82797645993662,123.35808057944772,172.52240832956088,10
165,Gary Trent Jr.,Toronto Raptors,SG,217,331,78,173,463.0,29,33,730.0,32,83,387.7,8,30,38,19,15,14,4,2,-98,274,255,236,57,504.69834710743805,17.310950413223143,30.91012396694215,34.28512396694215,488.9752066115701,553.5382231404959,452.7985537190082,35.55785123966942,10
166,Georges Niang,Cleveland Cavaliers,SF,136,282,49,96,511.7,11,11,500.0,27,61,465.6,2,31,33,12,29,5,15,2,-23,181,169,148,45,239.03316326530611,18.14604591836735,5.610331632653061,21.816326530612248,285.2755102040817,260.86543367346934,254.68686224489792,32.51275510204081,10
167,Giannis Antetokounmpo,Milwaukee Bucks,PF,314,372,120,197,614.5,69,106,607.9,5,18,183.3,36,95,131,69,30,7,35,10,-10,514,445,383,200,472.10090702947844,206.79138321995464,83.68934240362812,4.5,1064.1145124716554,900.1734693877552,614.3367346938775,312.1859410430839,10
168,Goga Bitadze,Orlando Magic,C,28,99,11,20,480.0,6,9,283.3,0,3,0.0,10,12,22,9,10,2,8,9,3,59,50,37,31,47.63905325443787,63.61094674556212,8.33284023668639,0.0,232.10059171597635,173.7174556213018,74.48668639053254,103.4792899408284,9
