,First Last Name,team,position,points,minutes,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,Points_Rebounds_Assist,Points_Rebounds,Points_Assist,Rebounds_Assist,points_deviation,totReb_deviation,assists_deviation,tpm_deviation,Points_Rebounds_Assist_deviation,Points_Rebounds_deviation,Points_Assist_deviation,Rebounds_Assist_deviation,count
319,Malik Monk,Sacramento Kings,SG,177,289,69,156,418.1,22,26,750.0,17,55,273.0,3,36,39,55,20,10,25,4,-1,271,216,232,94,874.2396694214876,21.0,42.582644628099175,22.367768595041323,1053.8553719008264,984.8760330578513,910.0371900826447,96.76446280991735,10
320,MarJon Beauchamp,Milwaukee Bucks,F,30,42,10,16,350.0,7,8,175.0,3,7,200.0,2,9,11,1,4,1,3,0,-17,42,41,31,12,65.5,11.0,0.8749999999999999,1.875,116.04166666666664,105.5,72.87499999999999,15.04166666666667,6
321,Marcus Morris Sr.,Philadelphia 76ers,SF,23,65,9,22,122.9,2,2,100.0,3,8,83.3,0,10,10,1,3,2,5,1,-14,34,33,24,11,20.666666666666664,4.666666666666666,0.6666666666666667,2.0,24.666666666666664,32.0,14.0,4.666666666666666,3
322,Marcus Sasser,Detroit Pistons,G,67,191,25,73,322.3,6,9,300.0,11,37,326.2,1,15,16,45,17,9,14,0,-22,128,83,112,61,345.9777777777778,13.511111111111113,63.71111111111111,11.177777777777777,627.7777777777777,400.2,553.7777777777778,97.0,10
323,Markelle Fultz,Orlando Magic,PG,70,187,30,67,401.1,9,12,333.3,1,7,50.0,15,20,35,22,11,7,13,3,-17,127,105,92,57,225.1640625,36.65625,21.90625,0.9140625,235.8515625,194.4140625,239.0390625,86.125,10
324,Markieff Morris,Dallas Mavericks,PF,3,6,1,2,50.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,0,0,-1,5,5,3,2,2.25,1.0,0.0,0.25,6.25,6.25,2.25,1.0,1
325,Marques Bolden,Charlotte Hornets,C,0,13,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,2,1,1,0,1,0.0,0.7222222222222223,0.0,0.0,0.7222222222222223,0.7222222222222223,0.0,0.7222222222222223,2
326,Marvin Bagley III,Washington Wizards,PF,119,262,53,102,492.7,10,14,383.3,3,8,250.0,40,46,86,16,13,7,8,11,-40,221,205,135,102,363.0,137.06944444444443,12.402777777777779,2.125,626.7777777777778,594.2361111111111,370.56944444444446,174.44444444444446,10
327,Mason Jones,Sacramento Kings,G,1,13,0,3,0.0,1,2,50.0,0,2,0.0,1,3,4,4,0,0,0,0,10,9,5,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
328,Mason Plumlee,LA Clippers,C,63,145,22,34,630.0,19,26,466.7,0,0,0.0,13,43,56,13,21,4,11,6,-6,132,119,76,69,77.15625,113.625,13.0,0.0,235.40625,218.65625,94.40625,126.125,10
