,outcomes_name,outcomes_description,outcomes_price,outcomes_point,timestamp,data.id,"data,.home_team",data.away_team,data.bookmakers.title,data.bookmakers.markets.key
76,Over,Seth Curry,-115,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
77,Under,Seth Curry,-115,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
78,Over,Tre Mann,-115,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
79,Under,Tre Mann,-115,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
80,Over,Vasilije Micic,-115,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
81,Under,Vasilije Micic,-115,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,PointsBet (US),player_points
82,Over,Bobby Portis,106,14.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
83,Under,Bobby Portis,-145,14.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
84,Over,Miles Bridges,-127,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
85,Under,Miles Bridges,-108,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
86,Over,Nick Richards,-125,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
87,Under,Nick Richards,-109,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
88,Over,Tre Mann,-117,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
89,Under,Tre Mann,-117,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
90,Over,Giannis Antetokounmpo,-142,27.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
91,Under,Giannis Antetokounmpo,104,27.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
92,Over,Malik Beasley,-121,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
93,Under,Malik Beasley,-113,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
94,Over,Brook Lopez,-133,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
95,Under,Brook Lopez,-103,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
96,Over,Brandon Miller,-117,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
97,Under,Brandon Miller,-117,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
98,Over,Cody Martin,-106,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
99,Under,Cody Martin,-129,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
100,Over,Damian Lillard,-129,22.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
101,Under,Damian Lillard,-106,22.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
102,Over,Jae Crowder,100,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
103,Under,Jae Crowder,-137,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
104,Over,Grant Williams,-135,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
105,Under,Grant Williams,-101,8.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,Caesars,player_points
106,Under,Miles Bridges,-114,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
107,Over,Miles Bridges,-114,19.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
108,Over,Brook Lopez,-125,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
109,Under,Brook Lopez,-103,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
110,Under,Nick Richards,-110,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
111,Over,Nick Richards,-118,9.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
112,Over,Giannis Antetokounmpo,-147,27.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
113,Over,Giannis Antetokounmpo,-120,28.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
114,Under,Giannis Antetokounmpo,-108,28.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
115,Under,Cody Martin,-119,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
116,Over,Cody Martin,-109,7.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
117,Over,Jae Crowder,-105,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
118,Under,Jae Crowder,-123,6.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
119,Under,Malik Beasley,-135,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
120,Over,Malik Beasley,105,11.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
121,Under,Damian Lillard,-108,23.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
122,Over,Damian Lillard,-120,23.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
123,Under,Brandon Miller,-115,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
124,Over,Brandon Miller,-112,17.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
125,Over,Tre Mann,-106,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
126,Under,Tre Mann,-122,12.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
127,Over,Bobby Portis Jr.,-120,13.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
128,Under,Bobby Portis Jr.,-108,13.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
129,Over,Pat Connaughton,-114,5.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
130,Under,Pat Connaughton,-114,5.5,2024-03-01T00:05:39Z,fcda06bc2a83a0217ab849d1bb4d3948,Charlotte Hornets,Milwaukee Bucks,BetOnline.ag,player_points
